,index,latitude,longitude,region,country,observationDate,reportingDate,status,disease,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,Late Report,Late Observation,Mortality,Severity,domestic,wild,unspecified,species,owl,ostrich,greylag goose,bird,captive,tufted duck,guinea fowl,black headed gull,whooper swan,quail,environmental sample,dalmatian pelican,anatidae,goose,horse,dog,yaks,equidae,spotted dove,gull,ibex,emu,swine,chicken,env. sample,boar,mammal,buffaloe,black swan,duck,cattle egret,indian peafowl,turkey,reindeer,cat,goat,crow,swan,phasianidae,muscovy ducks,starling,hippopotamus,mallard,herring gull,deer,pheasant,elephant,goat/sheep ,jackal,accipitridae,buzzard,asian openbill,cattle,pigeon,xpeacock,sheep,stork,camelidae,greater flamingo,mute swan
12,19,51.928458,22.712944,Europe,Poland,2017-09-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",36.0,5.0,2.0,34.0,0.0,0,22,40.0,13.89,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,20,51.655215000000005,23.268335,Europe,Poland,2017-09-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",1.0,1.0,0.0,1.0,0.0,0,22,0.0,100.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,21,51.821846,23.55278,Europe,Poland,2017-09-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",28.0,4.0,2.0,26.0,0.0,0,22,50.0,14.29,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,23,48.361742,22.666549,Europe,Ukraine,2017-09-08,2017-08-14,Confirmed,African swine fever,"domestic, swine",11.0,11.0,11.0,0.0,0.0,0,25,100.0,100.0,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,24,-34.2,20.7,Africa,South Africa,2017-09-08,2017-11-08,Confirmed,Influenza - Avian,"domestic, turkey",1071.0,22.0,0.0,0.0,0.0,61,0,0.0,2.05,1,0,0,'turkey',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,25,-34.3,20.8,Africa,South Africa,2017-09-08,2017-11-08,Confirmed,Influenza - Avian,"domestic, turkey",1176.0,33.0,0.0,0.0,0.0,61,0,0.0,2.81,1,0,0,'turkey',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,26,53.70315,50.775044,Europe,Russian Federation,2017-08-08,2017-08-18,Confirmed,Lumpy skin disease,"domestic, cattle",132.0,11.0,0.0,0.0,0.0,10,0,0.0,8.33,1,0,0,'cattle',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,27,52.99270799999999,49.562929,Europe,Russian Federation,2017-08-08,2017-08-18,Confirmed,Lumpy skin disease,"domestic, cattle",1505.0,1.0,0.0,0.0,0.0,10,0,0.0,0.07,1,0,0,'cattle',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,28,51.961748,23.10187,Europe,Poland,2017-08-08,2017-08-17,Confirmed,African swine fever,"domestic, swine",21.0,12.0,4.0,17.0,0.0,9,0,33.33,57.14,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,31,56.208535999999995,38.748855999999996,Europe,Russian Federation,2017-07-08,2017-11-08,Confirmed,African swine fever,"domestic, swine",37.0,1.0,1.0,36.0,0.0,123,0,100.0,2.7,1,0,0,'swine',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
